시도,시군구,총_공원면적
강원특별자치도,강릉,1188814.8
강원특별자치도,고성,269292.0
강원특별자치도,동해,41275.0
강원특별자치도,삼척,442007.0
강원특별자치도,속초,611354.0
강원특별자치도,양구,203730.0
강원특별자치도,양양,127727.0
강원특별자치도,영월,714778.0
강원특별자치도,원주,1081048.0
강원특별자치도,인제,153097.0
강원특별자치도,정선,437452.5
강원특별자치도,철원,312261.0
강원특별자치도,춘천,7234702.0
강원특별자치도,태백,2722852.0
강원특별자치도,평창,932174.0
강원특별자치도,홍천,380934.0
강원특별자치도,화천,395738.0
강원특별자치도,횡성,218522.0
경기도,가평,511674.5
경기도,고양,6932758.3
경기도,과천,315666.0
경기도,광명,3397531.0
경기도,광주,797427.1
경기도,구리,912756.3
경기도,군포,1455419.2
경기도,김포,5456931.0
경기도,남양주,4774379.0
경기도,동두천,3649712.0
경기도,부천,2918346.8
경기도,성남,11087685.1
경기도,수원,7111239.8
경기도,시흥,4250221.0
경기도,안산,6178414.4
경기도,안성,880564.0
경기도,안양,1955853.0
경기도,양주,2040885.0
경기도,양평,687374.0
경기도,여주,350087.9
경기도,연천,605680.0
경기도,오산,2271088.0
경기도,용인,7439127.7
경기도,의왕,1367213.7
경기도,의정부,2249788.5
경기도,이천,2025604.0
경기도,파주,4139788.7
경기도,평택,10224347.9
경기도,포천,1825176.9
경기도,하남,2164478.0
경기도,화성,7339437.6
경상남도,거제,1115143.0
경상남도,거창,96595.0
경상남도,고성,1064946.0
경상남도,김해,1873370.1
경상남도,남해,464330.0
경상남도,밀양,607124.4
경상남도,사천,586802.0
경상남도,산청,515698.0
경상남도,양산,2360883.5
경상남도,의령,1551504.5
경상남도,진주,7526173.0
경상남도,창녕,1890550.0
경상남도,창원,18284543.8
경상남도,통영,3460151.0
경상남도,하동,471890.0
경상남도,함안,887298.0
경상남도,함양,611776.0
경상남도,합천,158480.0
경상북도,경산,1625574.1
경상북도,경주,1383356.0
경상북도,고령,43680.0
경상북도,구미,5014583.0
경상북도,김천,1037737.0
경상북도,문경,197749.0
경상북도,봉화,111284.9
경상북도,상주,1030092.3
경상북도,성주,322625.0
경상북도,안동,3875097.3
경상북도,영덕,1266751.0
경상북도,영양,612466.0
경상북도,영주,1622656.0
경상북도,영천,543271.0
경상북도,예천,893991.0
경상북도,울릉도,207920.0
경상북도,울진,274494.0
경상북도,의성,808250.0
경상북도,청도,183445.0
경상북도,청송,15800.0
경상북도,칠곡,807847.3
경상북도,포항,1953031.9
광주광역시,광주광역시,13062032.42
대구광역시,대구광역시,17919739.8
대전광역시,대전광역시,11654339.3
부산광역시,부산광역시,31196468.73
서울특별시,서울특별시,67763956.81
세종특별자치시,세종특별자치시,3382224.0
울산광역시,울산광역시,22671413.6
인천광역시,인천광역시,36461776.85
전라남도,강진,624186.0
전라남도,고흥,582909.0
전라남도,곡성,581835.0
전라남도,광양,12185379.3
전라남도,구례,4040.0
전라남도,나주,1809179.0
전라남도,담양,1127349.0
전라남도,목포,5741892.0
전라남도,무안,473603.0
전라남도,보성,339025.0
전라남도,순천,1511787.3
전라남도,신안,2476734.0
전라남도,여수,6523862.8
전라남도,영광,447893.0
전라남도,영암,380986.0
전라남도,완도,926802.0
전라남도,장성,342127.0
전라남도,장흥,1037875.0
전라남도,진도,690409.0
전라남도,함평,382102.0
전라남도,해남,1241529.0
전라남도,화순,795878.0
전라북도,고창,371617.6
전라북도,군산,5987975.0
전라북도,남원,64647.0
전라북도,무주,205183.0
전라북도,부안,963563.0
전라북도,완주,1764164.57
전라북도,익산,5725106.4
전라북도,임실,409026.2
전라북도,장수,410236.0
전라북도,전주,21940563.6
전라북도,정읍,79566.0
전라북도,진안,501382.0
제주특별자치도,서귀포,2886994.3
제주특별자치도,제주,7569151.4
충청남도,계룡,1137250.0
충청남도,공주,1049629.0
충청남도,금산,470172.0
충청남도,논산,1276886.0
충청남도,당진,4824106.0
충청남도,보령,559614.7
충청남도,부여,1385206.7
충청남도,서산,17249815.2
충청남도,서천,1474902.0
충청남도,아산,2366806.0
충청남도,예산,2079051.4
충청남도,천안,7095723.7
충청남도,청양,198056.0
충청남도,태안,81758.0
충청남도,홍성,3124441.3
충청북도,괴산,616728.0
충청북도,단양,711626.4
충청북도,보은,12632.0
충청북도,영동,302950.0
충청북도,옥천,158338.0
충청북도,음성,967387.0
충청북도,제천,578765.185
충청북도,증평,256039.0
충청북도,진천,841133.6
충청북도,청주,15276973.7
충청북도,충주,3006468.5
